"";"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"link";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"1";"AC";"Companhia de Saneamento do Acre - SANACRE";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-9508807,54;3068409,27;"SIM";"SIM";"NÃO";"236071.92999999999";"Não";173;0;21768434,44;0;3256443,56;3195783,52;0;0;NA;"Acre";"Norte";FALSE;FALSE;-3256443,56
"2";"AC";"Companhia de Desenvolvimento Industrial do Acre - CODISACRE";"ATIVA";"OUTROS";"EMPRESA PÚBLICA";"Dependente";-2888488;722035,11;"SIM";"SIM";"NÃO";"188466.45999999999";"Não";39;6406;2846995,45;0;3658362,34;3166108,09;0;0;NA;"Acre";"Norte";FALSE;FALSE;-3658362,34
"3";"AC";"Companhia de Colonização do Acre - COLONACRE";"EM LIQUIDAÇÃO";"OUTROS";"EMPRESA PÚBLICA";"Dependente";48864,07;11879,48;"SIM";"SIM";"NÃO";"92300";"Não";13;0;833899,38;0;15518;6899;0;0;NA;"Acre";"Norte";FALSE;FALSE;-15518
"4";"AC";"Companhia de Armazéns e Entrepostos do Acre - CAGEACRE";"ATIVA";"OUTROS";"EMPRESA PÚBLICA";"Dependente";-593136,33;1165931,09;"SIM";"SIM";"NÃO";"321149.40000000002";"Não";141;0;8327471,73;0;9575806,83;7477793,74;0;0;NA;"Acre";"Norte";FALSE;FALSE;-9575806,83
"5";"AC";"Empresa de Assistência Técnica e Extensão Rural do Acre - EMATER";"ATIVA";"OUTROS";"EMPRESA PÚBLICA";"Dependente";-5085779;2032832,74;"SIM";"SIM";"NÃO";"200214";"Não";183;1859;16276568,1;0;18524821,75;20167768,42;0;0;NA;"Acre";"Norte";FALSE;FALSE;-18524821,75
"6";"AC";"Companhia Industrial de Laticínios do Acre - CILA";"ATIVA";"OUTROS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-660473,59;174455,59;"SIM";"SIM";"NÃO";"212472";"Não";16;0;1421112,22;0;1593809,51;1030473,72;0;0;NA;"Acre";"Norte";FALSE;FALSE;-1593809,51
"7";"AC";"Banco do Estado do Acre S/A - BANACRE";"EM LIQUIDAÇÃO";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";34823,74;12363,53;"SIM";"SIM";"NÃO";"92245.460000000006";"Não";15;0;1448145,03;0;1537569,26;1440210,71;0;0;NA;"Acre";"Norte";FALSE;FALSE;-1537569,26
"8";"AC";"Companhia de Habitação do Acre - COHAB/ACRE";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-10978314,33;-1717658,07;"SIM";"SIM";"NÃO";"237939.91";"Não";49;0;5250856,81;0;6906705,92;6000331,94;0;0;NA;"Acre";"Norte";FALSE;FALSE;-6906705,92
"9";"AC";"Empresa de Processamento de Dados do Acre S/A - ACREDATA";"ATIVA";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"EMPRESA PÚBLICA";"Dependente";-6346331,7;1618631,7;"SIM";"SIM";"NÃO";"187958.54999999999";"Não";84;0;6953703,35;0;8733895,75;7872421,47;0;0;NA;"Acre";"Norte";FALSE;FALSE;-8733895,75
"10";"AC";"Agencia de Negócios do Estado do Acre - ANAC";"ATIVA";"OUTROS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";17760339,98;-512943,5;"SIM";"SIM";"NÃO";"212472";"Não";14;0;1677045,07;0;0;0;0;0;NA;"Acre";"Norte";FALSE;FALSE;0
"11";"AC";"Administradora da Zona de Processamento de Exportação do Acre AZPE/AC";"ATIVA";"OUTROS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";0;0;"SIM";"SIM";"NÃO";"0";"Não";0;0;0;0;0;0;0;0;NA;"Acre";"Norte";FALSE;FALSE;0
"12";"AC";"Companhia Agencia de Desenvolvimento e Serviços Ambientais do Estado do Acre - CDSA";"ATIVA";"GESTÃO DE ATIVOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";87939,33;21154,59;"SIM";"SIM";"NÃO";"0";"Não";0;0;0;0;13000,02;0;0;0;NA;"Acre";"Norte";FALSE;FALSE;-13000,02
