"";"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"capital";"var_capital";"var_acoes";"link";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"1";"AC";"Agencia de Negócios do Estado do Acre";"ATIVA";"OUTROS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";48353354,32;-24479884,96;"SIM";"SIM";"NÃO";196128;"Não";18;0;2123106,04;0;0;0;2247519,62;1767218,57;146871838,05;2247519,62;0;"nan";"Acre";"Norte";FALSE;FALSE;-2247519,62
"2";"AC";"Administradora da Zona de Processamento de Exportação do Acre - AZPE/AC";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";0;-55746,01;"SIM";"SIM";"NÃO";0;"Não";0;0;0;0;0;0;0;0;55000;0;0;"nan";"Acre";"Norte";FALSE;FALSE;0
"3";"AC";"Banco do Estado do Acre - BANACRE";"EM LIQUIDAÇÃO";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-191752566,47;-942857,86;"SIM";"SIM";"NÃO";95768,02;"Não";14;0;1146293,69;0;1600685,13;1525569;0;0;24365820,86;0;0;"nan";"Acre";"Norte";FALSE;FALSE;-1600685,13
"4";"AC";"Companhia de Armazéns e Entrepostos do Acre - CAGEACRE";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"EMPRESA PÚBLICA";"Dependente";8192906,14;682466,81;"SIM";"SIM";"NÃO";346731,32;"Não";140;133788,2;8082255,82;494565,41;9082999,24;9575806,83;27000;27000;8955849,76;0;0;"nan";"Acre";"Norte";FALSE;FALSE;-8615433,83
"5";"AC";"Companhia Industrial de Laticínios do Acre - CILA";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-64543713,3;12022303,16;"SIM";"SIM";"NÃO";176800;"Não";25;0;1316291,74;0;1935664,94;1593809,51;0;0;416,44;0;0;"nan";"Acre";"Norte";FALSE;FALSE;-1935664,94
"6";"AC";"Companhia de Desenvolvimento Industrial do Acre - CODISACRE";"ATIVA";"DESENVOLVIMENTO REGIONAL";"EMPRESA PÚBLICA";"Dependente";-7255905,61;696130,92;"SIM";"SIM";"NÃO";176800;"Não";47;0;2914556,76;0;3692043,52;3662859,62;0;0;3797524,5;0;0;"nan";"Acre";"Norte";FALSE;FALSE;-3692043,52
"7";"AC";"Companhia de Colonização do Acre - COLONACRE";"EM LIQUIDAÇÃO";"OUTROS";"EMPRESA PÚBLICA";"Dependente";-5856447,48;-178986,58;"SIM";"SIM";"NÃO";176800;"Não";15;0;983816,25;0;876623,5;789372,18;0;0;3598917,22;0;0;"nan";"Acre";"Norte";FALSE;FALSE;-876623,5
"8";"AC";"Companhia de Saneamento do Acre - SANACRE";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-18949354,32;-18949354,32;"SIM";"SIM";"NÃO";236043,74;"Não";191;0;20139047,96;0;10140978,06;10278585,48;0;0;123139981,75;0;0;"nan";"Acre";"Norte";FALSE;FALSE;-10140978,06
"9";"AC";"Companhia de Habitação do Acre - COHAB/ACRE";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";79307669,34;3953141,14;"SIM";"SIM";"NÃO";237911,72;"Não";61;0;5027697,04;0;8878252,82;14847812,46;0;0;62835007,31;0;0;"nan";"Acre";"Norte";FALSE;FALSE;-8878252,82
"10";"AC";"Companhia Agência de Desenvolvimento e Serviços Ambientais do Estado do Acre - CDSA";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";103135,32;43135,32;"SIM";"SIM";"NÃO";0;"Não";0;49200;0;0;1569900,68;13000,02;0;0;60000;0;0;"nan";"Acre";"Norte";FALSE;FALSE;-1569900,68
"11";"AC";"Empresa de Processamento de Dados do Acre S/A - ACREDATA";"ATIVA";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-73130330,5;-7781835,1;"SIM";"SIM";"NÃO";163200;"Não";68;0;5845587,49;0;9085516,43;8719160,17;0;0;4396687,58;0;0;"nan";"Acre";"Norte";FALSE;FALSE;-9085516,43
"12";"AC";"Empresa de Assistência Técnica e Extensão Rural do Acre - EMATER";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"EMPRESA PÚBLICA";"Dependente";-2982970,12;651732,77;"SIM";"SIM";"NÃO";119855,99;"Não";176;518700;17308822,52;0;19730427,58;18524821,75;0;0;0,01;0;0;"nan";"Acre";"Norte";FALSE;FALSE;-19730427,58
