Nome_estado,setor,emp,dep,sit,capital,desp_investimento,lucros,link,indicio_dependencia,tipo_indicio
Acre,OUTROS,Agencia de Negócios do Estado do Acre,Dependente,ATIVA,146871838.05,0,-24479884.96,nan,NÃO,NA
Acre,DESENVOLVIMENTO REGIONAL,Administradora da Zona de Processamento de Exportação do Acre - AZPE/AC,Dependente,ATIVA,55000,0,-55746.01,nan,NÃO,NA
Acre,FINANCEIRO,Banco do Estado do Acre - BANACRE,Dependente,EM LIQUIDAÇÃO,24365820.86,0,-942857.86,nan,NÃO,NA
Acre,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,Companhia de Armazéns e Entrepostos do Acre - CAGEACRE,Dependente,ATIVA,8955849.76,133788.2,682466.81,nan,NÃO,NA
Acre,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,Companhia Industrial de Laticínios do Acre - CILA,Dependente,ATIVA,416.44,0,12022303.16,nan,NÃO,NA
Acre,DESENVOLVIMENTO REGIONAL,Companhia de Desenvolvimento Industrial do Acre - CODISACRE,Dependente,ATIVA,3797524.5,0,696130.92,nan,NÃO,NA
Acre,OUTROS,Companhia de Colonização do Acre - COLONACRE,Dependente,EM LIQUIDAÇÃO,3598917.22,0,-178986.58,nan,NÃO,NA
Acre,SANEAMENTO,Companhia de Saneamento do Acre - SANACRE,Dependente,ATIVA,123139981.75,0,-18949354.32,nan,NÃO,NA
Acre,HABITAÇÃO E URBANIZAÇÃO,Companhia de Habitação do Acre - COHAB/ACRE,Dependente,ATIVA,62835007.31,0,3953141.14,nan,NÃO,NA
Acre,DESENVOLVIMENTO REGIONAL,Companhia Agência de Desenvolvimento e Serviços Ambientais do Estado do Acre - CDSA,Dependente,ATIVA,60000,49200,43135.32,nan,NÃO,NA
Acre,INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO,Empresa de Processamento de Dados do Acre S/A - ACREDATA,Dependente,ATIVA,4396687.58,0,-7781835.1,nan,NÃO,NA
Acre,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Empresa de Assistência Técnica e Extensão Rural do Acre - EMATER,Dependente,ATIVA,0.01,518700,651732.77,nan,NÃO,NA
Alagoas,FINANCEIRO,AGÊNCIAS DE FOMENTO DE ALAGOAS - DESENVOLVE,Dependente,ATIVA,80414000,0,-3512967.82,https://www.desenvolve-al.com.br/institucional/relatorios-da-administracao/,NÃO,NA
Alagoas,HABITAÇÃO E URBANIZAÇÃO,COMPANHIA ALAGOANA DE RECURSOS HUMANOS E PATRIMONIAIS - CARHP,Dependente,EM LIQUIDAÇÃO,4964380.41,0,-42707.56,nan,NÃO,NA
Alagoas,SAÚDE,LABORATORIO INDUSTRIAL FARMACEUTICO DE ALAGOAS S/A - LIFAL,Dependente,EM LIQUIDAÇÃO,0,0,-355535.8,nan,NÃO,NA
Alagoas,OUTROS,SERVIÇO DE ENGENHARIA DE ALAGOAS S.A - SERVEAL,Dependente,EM LIQUIDAÇÃO,0,0,-164663.09,nan,NÃO,NA
Amazonas,TURISMO,Empresa Estadual de Turismo - Amazonastur,Dependente,ATIVA,27123375.38,1640134.85,40503.88,nan,NÃO,NA
Amazonas,SANEAMENTO,Companhia de Saneamento do Amazonas - Cosama,Dependente,ATIVA,532581469.06,1676764.08,2086791.1,WWW.COSAMA.AM.GOV.BR,NÃO,NA
Amazonas,DESENVOLVIMENTO REGIONAL,Agência de Desenvolvimento Sustentável do Amazonas - ADS,Dependente,ATIVA,10000000,125021.13,111673.53,nan,NÃO,NA
Amapá,SANEAMENTO,Companhia de Água e Esgoto do Amapá - CAESA,Dependente,ATIVA,0,0,47289353.51,caesa.portal.ap.gov.br/,NÃO,NA
Bahia,OUTROS,BAHIA PESCA S/A,Dependente,ATIVA,4824688.64,396367,-1302712,http://www.bahiapesca.ba.gov.br/arquivos/File/CARTAANUALBPECERCICIO2020.pdf,NÃO,NA
Bahia,MINERAÇÃO,Companhia Baiana de Pesquisa Mineral,Dependente,ATIVA,100000000,874376.7,3925487.91,nan,NÃO,NA
Bahia,SANEAMENTO,COMPANHIA DE ENGENHARIA HIDRICA E DE SANEAMENTO DA BAHIA CERB,Dependente,ATIVA,131206906,62058948.09,378212.65,nan,NÃO,NA
Bahia,HABITAÇÃO E URBANIZAÇÃO,COMPANHIA DE DESENVOLVIMENTO URBANO DO ESTADO DA BAHIA - CONDER,Dependente,ATIVA,16803753,0,-3011462.32,https://www.conder.ba.gov.br/sites/default/files/documentos/2022-04/Carta_Anual_de_Governanca_Corporativa__2022__VFinal.pdf,NÃO,NA
Bahia,DESENVOLVIMENTO REGIONAL,COMPANHIA DE DESENVOLVIMENTO E AÇÃO REGIONAL - CAR,Dependente,ATIVA,13542532.35,5569071.63,-527641.29,nan,NÃO,NA
Bahia,TRANSPORTE,COMPANHIA DE TRANSPORTE DO ESTADO DA BAHIA - CTB,Dependente,ATIVA,139654487.18,35844247,5544111,nan,NÃO,NA
Ceará,INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO,Empresa de Tecnologia da Informação do Ceará - ETICE,Dependente,ATIVA,50000,1547726.09,1171930.77,nan,NÃO,NA
Ceará,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Empresa de Assistência Técnica e Extensão Rural do Ceará - EMATERCE,Dependente,ATIVA,2511583.84,0,-3557178.03,nan,NÃO,NA
Ceará,HABITAÇÃO E URBANIZAÇÃO,Companhia de Habitação do Ceará - COHAB,Dependente,EM LIQUIDAÇÃO,29404405,8180.52,-10680460.03,nan,NÃO,NA
Distrito Federal,OUTROS,BRB Serviços,Dependente,ATIVA,19013700,8067262,6128763.58,nan,NÃO,NA
Distrito Federal,OUTROS,Companhia de Planejamento do Distrito Federal - CODEPLAN,Dependente,ATIVA,12233727.6,0,10346341.03,nan,NÃO,NA
Distrito Federal,HABITAÇÃO E URBANIZAÇÃO,Companhia de Desenvolvimento Habitacional do Distrito Federal - CODHAB,Dependente,ATIVA,37029931.62,13926971.93,770328.49,nan,NÃO,NA
Distrito Federal,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Empresa de Assistência Técnica e Extensão Rural do Distrito Federal - EMATER,Dependente,ATIVA,677760.52,1415068.15,-28590512.04,nan,NÃO,NA
