"";"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"capital";"link";"indicio_dependencia";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"1";"TO";"AGÊNCIA DE FOMENTO DO ESTADO DO TOCANTINS SA";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";31250801,86;-806034,17;"SIM";"SIM";"SIM";198465,44;"Não";47;69210;2887346,71;0;0;0;10060362,17;1307847,1;51300919,58;NA;"não";"Tocantins";"Norte";TRUE;FALSE;-10060362,17
"2";"TO";"COMPANHIA IMOBILIÁRIA DE PARTICIPAÇÕES INVESTIMENTOS E PARCERIAS DO ESTADO DO TOCANTINS  TOCANTINS PARCERIAS";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";60061001,32;-7845565,44;"SIM";"SIM";"SIM";296444,44;"Sim";78;13723,33;8766286,95;0;0;0;3908800;0;33888437,15;NA;"não";"Tocantins";"Norte";TRUE;FALSE;-3908800
"3";"SP";"COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO";"ATIVA";"OUTROS";"EMPRESA PÚBLICA";"Dependente";79446649,74;-116331803,93;"SIM";"SIM";"SIM";294202,03;"Não";1727;66886409;493090761,45;63877000;46815851,91;190608103;0;0;169576390,56;"https://cetesb.sp.gov.br/balancos-patrimoniais";"não";"São Paulo";"Sudeste";TRUE;FALSE;17061148,09
"4";"SP";"COMPANHIA DE DESENVOLVIMENTO HABITACIONAL E URBANO DO ESTADO DE SÃO PAULO";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"EMPRESA PÚBLICA";"Não Dependente";11415473384,63;-504390037,53;"SIM";"SIM";"SIM";380913,68;"Não";390;1948528927,25;93544203,84;0;0;0;875070147;992564840;17155349420,89;"https://www.cdhu.sp.gov.br/documents/20143/37042/Balanço+Anual+CDHU+DOE+21+04+22.pdf/e8e85b3b-c7f9-4b44-cb1d-2e817a1229d2";"não";"São Paulo";"Sudeste";TRUE;FALSE;-875070147
"5";"SP";"COMPANHIA PAULISTA DE PARCERIAS";"ATIVA";"GESTÃO DE ATIVOS";"EMPRESA PÚBLICA";"Não Dependente";1954371862;178375653;"SIM";"SIM";"NÃO";385400,5;"Sim";9;0;4291438;18226481;0;0;0;0;1509619815,19;"https://portal.fazenda.sp.gov.br/Institucional/Documents/CPP/DFs%2031%2012%202021%20com%20Relatorio%20Integrado.pdf";"não";"São Paulo";"Sudeste";FALSE;FALSE;18226481
"6";"SP";"COMPANHIA PAULISTA DE SECURITIZAÇÃO";"ATIVA";"GESTÃO DE ATIVOS";"EMPRESA PÚBLICA";"Não Dependente";301379704,98;18366307,72;"SIM";"SIM";"NÃO";257742,97;"Sim";3;0;528413,91;4330005,3;0;0;0;0;283012100;"https://portal.fazenda.sp.gov.br/Institucional/Paginas/CPSEC/CPSEC.aspx";"não";"São Paulo";"Sudeste";FALSE;FALSE;4330005,3
"7";"SP";"COMPANHIA PAULISTA DE TRENS METROPOLITANOS";"ATIVA";"TRANSPORTE";"EMPRESA PÚBLICA";"Dependente";10070235313,91;-432766889,91;"SIM";"SIM";"SIM";344935,21;"Sim";6034;581237531,02;1079459177,65;0;962140766,72;1200969765,47;914165283,85;686415096,43;18269248866,51;"https://www.cptm.sp.gov.br/esg-consciente/Governanca/BalancosDemonstrativos/Relat%C3%B3rio%20Integrado%20CPTM%202022.zip";"não";"São Paulo";"Sudeste";TRUE;FALSE;-1876306050,57
"8";"SP";"COMPANHIA DOCAS DE SÃO SEBASTIÃO";"ATIVA";"PORTOS E HIDROVIAS";"EMPRESA PÚBLICA";"Dependente";198309830;-15958215;"SIM";"SIM";"NÃO";315323,61;"Não";82;100080,94;22836681,27;0;10416149;9874602;92487,94;0;17738161;NA;"não";"São Paulo";"Sudeste";FALSE;FALSE;-10508636,94
"9";"SP";"COMPANHIA DO METROPOLITANO DE SAO PAULO";"ATIVA";"TRANSPORTE";"EMPRESA PÚBLICA";"Não Dependente";35306452472,17;-1167147483,7;"SIM";"SIM";"SIM";621934,29;"Não";7334;2352444975,19;1770412654,94;0;0;559169988;2382936931,92;1581279484,4;44611122735,33;"https://governancacorporativa.metrosp.com.br/Documentos%20Compartilhados/CartaPoliticasPublicas.pdf";"não";"São Paulo";"Sudeste";TRUE;FALSE;-2382936931,92
"10";"SP";"COMPANHIA DE PROCESSAMENTO DE DADOS DO ESTADO DE SÃO PAULO";"ATIVA";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"EMPRESA PÚBLICA";"Não Dependente";826630801,52;218008232,1;"SIM";"SIM";"SIM";738738,12;"Não";1805;257937374,96;458005460,5;41620799,9;0;0;0;160352000;666490179,51;"https://www.prodesp.sp.gov.br/institucional/governanca-corporativa/";"não";"São Paulo";"Sudeste";TRUE;FALSE;41620799,9
